Method Acting	Bright Eyes	RATED (mk4) 0904 <98> <= [100,84]
Firebreather	Thrice	RATED (mk4) 0904 <98> <= [100,84]
Drawing the Line	Porcupine Tree	RATED (mk4) 0904 <98> <= [100,84]
DISKPREPT1	Aphex Twin	RATED (mk4) 0904 <98> <= [100,84]
Departure / Shortwave / Noisetest	65daysofstatic	RATED (mk4) 0904 <98> <= [100,84]
Coffee & TV	Blur	RATED (mk4) 0904 <98> <= [100,84]
Christmas Steps	Mogwai	RATED (mk4) 0904 <98> <= [100,84]
As Dust Dances (Live At Wembley)	Biffy Clyro	RATED (mk4) 0904 <98> <= [100,84]
Army Of Me	Bjork	RATED (mk4) 0904 <98> <= [100,84]
After the Flood	Mogwai	RATED (mk4) 0904 <98> <= [100,84]
Refuge	Steven Wilson	RATED (mk4) 0904 <98> <= [88,92]
Best Of You	Foo Fighters	RATED (mk4) 0901 <98> <= [100,88,86,91]
Head up High	Black Rebel Motorcycle Club	RATED (mk4) 0900 <98> <= [100,89,84]
Goliath	Karnivool	RATED (mk4) 0900 <98> <= [100,89,84]
The Fragile	Nine Inch Nails	RATED (mk4) 0900 <98> <= [93,88]
While Oceana Sleeps	Sparta	RATED (mk4) 0900 <98> <= [90]
Where Is My Mind?	Pixies	RATED (mk4) 0900 <98> <= [90]
Stagger Lee	Nick Cave & The Bad Seeds	RATED (mk4) 0900 <98> <= [90]
Sleep Together	Porcupine Tree	RATED (mk4) 0900 <98> <= [90]
Since I've Been Loving You	Led Zeppelin	RATED (mk4) 0900 <98> <= [90]
Rime Of The Ancient Mariner	Iron Maiden	RATED (mk4) 0900 <98> <= [90]
Our Common Ground	Soup	RATED (mk4) 0900 <98> <= [90]
Neoarchaean	The Ocean	RATED (mk4) 0900 <98> <= [90]
Heart And Soul	Joy Division	RATED (mk4) 0900 <98> <= [90]
Gravity Eyelids	Porcupine Tree	RATED (mk4) 0900 <98> <= [90]
Darkness	Rage Against the Machine	RATED (mk4) 0900 <98> <= [90]
Casuar	Blancah	RATED (mk4) 0900 <98> <= [90]
H a r m o n i c	Behind the Shadow Drops	RATED (mk4) 0900 <98> <= [90,90]
They Keep Silence	Jambinai	RATED (mk4) 0899 <98> <= [100,87,85]
21st Century Digital Boy	Bad Religion	RATED (mk4) 0898 <98> <= [100,83]
Zeitgeist	Black Sabbath	RATED (mk4) 0898 <98> <= [100,83]
Willow Tree	Bruce Soord	RATED (mk4) 0898 <98> <= [100,83]
Travel Is Dangerous	Mogwai	RATED (mk4) 0898 <98> <= [100,83]
Telegram (Nature's Mischief)	Steamhammer	RATED (mk4) 0898 <98> <= [100,83]
Spiral Jetty - ego sto solus -	...And You Will Know Us By The Trail Of Dead	RATED (mk4) 0898 <98> <= [100,83]
The Salted Tongue	31knots	RATED (mk4) 0898 <98> <= [100,83]
Rope	Foo Fighters	RATED (mk4) 0898 <98> <= [100,83]
Reflektor	Arcade Fire	RATED (mk4) 0898 <98> <= [100,83]
Pure Radio Cosplay - ego sto solus -	...And You Will Know Us By The Trail Of Dead	RATED (mk4) 0898 <98> <= [100,83]
Polly	Nirvana	RATED (mk4) 0898 <98> <= [100,83]
Pattern Against User	At the Drive-In	RATED (mk4) 0898 <98> <= [100,83]
No Man's Land	The Pineapple Thief	RATED (mk4) 0898 <98> <= [100,83]
No Excuses	Alice In Chains	RATED (mk4) 0898 <98> <= [100,83]
Memorial	Explosions In the Sky	RATED (mk4) 0898 <98> <= [100,83]
Like Treasure	Editors	RATED (mk4) 0898 <98> <= [100,83]
Ful Stop	Radiohead	RATED (mk4) 0898 <98> <= [100,83]
Faith Alone	Bad Religion	RATED (mk4) 0898 <98> <= [100,83]
Elephants	Blaudzun	RATED (mk4) 0898 <98> <= [100,83]
Build Us A Rocket Then...	Oceansize	RATED (mk4) 0898 <98> <= [100,83]
As Dust Dances (contains bonus hidden track '2/15ths')	Biffy Clyro	RATED (mk4) 0898 <98> <= [100,83]
Anesthetize	Porcupine Tree	RATED (mk4) 0898 <98> <= [100,83]
Altar of God	Boysetsfire	RATED (mk4) 0898 <98> <= [100,83]
Across The Wire	Calexico	RATED (mk4) 0898 <98> <= [100,83]
Rano Pano	Mogwai	RATED (mk4) 0897 <98> <= [80,96,92]
A Greater Call	Cult of Luna & Julie Christmas	RATED (mk4) 0896 <98> <= [80,96]
Buying New Soul	Porcupine Tree	RATED (mk4) 0895 <98> <= [100,91,91,84]
Brena	A Perfect Circle	RATED (mk4) 0893 <98> <= [100,83,89,90]
7 Days	The Butterfly Effect	RATED (mk4) 0892 <98> <= [100,82]
Weightless	Long Distance Calling	RATED (mk4) 0892 <98> <= [100,82]
Take My Bones Away	Baroness	RATED (mk4) 0892 <98> <= [100,82]
Springfield	Anathema	RATED (mk4) 0892 <98> <= [100,82]
Singing Saw	Kevin Morby	RATED (mk4) 0892 <98> <= [100,82]
Pictures of an Only Child	...And You Will Know Us by the Trail of Dead	RATED (mk4) 0892 <98> <= [100,82]
Of Dust and Nations	Thrice	RATED (mk4) 0892 <98> <= [100,82]
A Mass for Metaphysicians	Junius	RATED (mk4) 0892 <98> <= [100,82]
Marked for Death	Emma Ruth Rundle	RATED (mk4) 0892 <98> <= [100,82]
Hurricane	Thrice	RATED (mk4) 0892 <98> <= [100,82]
Golden Ratio	Amplifier	RATED (mk4) 0892 <98> <= [100,82]
Giving Birth To Imagined Saviors	Red Sparowes	RATED (mk4) 0892 <98> <= [100,82]
For the Money	Editors	RATED (mk4) 0892 <98> <= [100,82]
Escape The Nest	Editors	RATED (mk4) 0892 <98> <= [100,82]
Autre temps	Alcest	RATED (mk4) 0892 <98> <= [100,82]
Black & Gold	Sivert Høyem	RATED (mk4) 0892 <98> <= [88,90]
Down in a Hole	Alice in Chains	RATED (mk4) 0891 <98> <= [100,90,92,83]
The Doomed	A Perfect Circle	RATED (mk4) 0891 <98> <= [100,84,86,91]
Pyre	O.R.k.	RATED (mk4) 0890 <98> <= [92,87]
Zombie Eaters	Faith no More	RATED (mk4) 0890 <98> <= [89]
Tequila Sunrise	Cypress Hill	RATED (mk4) 0890 <98> <= [89]
The Sound of Muzak	Porcupine Tree	RATED (mk4) 0890 <98> <= [89]
Soldier Side	System of a Down	RATED (mk4) 0890 <98> <= [89]
Prelude 3.0	Slipknot	RATED (mk4) 0890 <98> <= [89]
Outside	Staind	RATED (mk4) 0890 <98> <= [89]
Off He Goes	Pearl Jam	RATED (mk4) 0890 <98> <= [89]
Mexico	Incubus	RATED (mk4) 0890 <98> <= [89]
Little Sister	Queens Of The Stone Age	RATED (mk4) 0890 <98> <= [89]
Everything's Ruined	Faith no More	RATED (mk4) 0890 <98> <= [89]
The Devil Went Down To Georgia	Primus	RATED (mk4) 0890 <98> <= [89]
Calendula	Microtrauma & Ryan Davis	RATED (mk4) 0890 <98> <= [89]
The Arsonist	Thrice	RATED (mk4) 0890 <98> <= [89]
Blood on the Tightrope	Lunatic Soul	RATED (mk4) 0889 <97> <= [100,82,86]
Giftland	Motorpsycho	RATED (mk4) 0889 <97> <= [100,79,88]
Something In the Way	Nirvana	RATED (mk4) 0888 <97> <= [100,87,83,90]
Karma Police	Radiohead	RATED (mk4) 0887 <97> <= [100,89,81]
As Sure as the Sun	Black Rebel Motorcycle Club	RATED (mk4) 0887 <97> <= [100,86,83]
Time (2011 Remastered Version)	Pink Floyd	RATED (mk4) 0887 <97> <= [100,83,85]
Wiped Out	Archive	RATED (mk4) 0886 <97> <= [100,81]
